ID,X,Y
1,0.0,0.0
1,-0.968,0.02
1,-0.822,0.57
1,0.0,1.0
2,0.0,0.0
2,0.225,0.72
2,0.131,0.86
2,0.0,1.0
3,0.0,1.0
3,-0.73,0.73
3,0.0,0.0
3,-0.39,0.29
4,0.0,1.0
4,0.0,0.0
4,0.297,0.2
4,-0.665,0.35
5,0.0,1.0
5,0.808,0.77
5,0.0,0.0
5,0.196,0.46
6,0.0,0.0
6,0.652,0.07
6,0.526,0.15
6,0.0,1.0
7,0.0,1.0
7,0.0,0.0
7,-0.876,0.27
7,0.218,0.76
8,0.0,0.0
8,0.04,0.39
8,-0.325,0.83
8,0.0,1.0
9,0.725,0.24
9,0.0,1.0
9,0.0,0.0
9,-0.096,0.22
10,0.0,1.0
10,0.576,0.23
10,-0.064,0.22
10,0.0,0.0
11,0.0,0.0
11,0.389,0.06
11,-0.973,0.52
11,0.0,1.0
12,-0.612,0.06
12,0.0,1.0
12,0.0,0.0
12,0.763,0.0
13,0.0,0.0
13,0.615,0.18
13,-0.619,0.34
13,0.0,1.0
14,0.0,0.0
14,-0.08,0.43
14,0.047,0.61
14,0.0,1.0
15,-0.626,0.43
15,0.0,1.0
15,0.241,0.19
15,0.0,0.0
16,0.0,0.0
16,-0.181,0.15
16,-0.223,0.4
16,0.0,1.0
17,0.0,0.0
17,-0.348,0.23
17,-0.828,0.24
17,0.0,1.0
18,0.0,1.0
18,0.0,0.0
18,0.63,0.1
18,-0.486,0.57
19,-0.179,0.81
19,0.0,1.0
19,0.0,0.0
19,-0.051,0.66
20,0.0,1.0
20,0.305,0.16
20,-0.604,0.07
20,0.0,0.0
21,0.0,0.0
21,-0.87,0.01
21,-0.947,0.48
21,0.0,1.0
22,0.835,0.66
22,0.0,1.0
22,0.0,0.0
22,0.976,0.48
23,0.0,0.0
23,0.291,0.16
23,-0.057,0.23
23,0.0,1.0
24,0.0,0.0
24,0.599,0.42
24,-0.853,0.49
24,0.0,1.0
25,0.0,1.0
25,-0.646,0.51
25,-0.831,0.5
25,0.0,0.0
26,0.0,0.0
26,-0.026,0.06
26,-0.323,0.13
26,0.0,1.0
27,0.0,0.0
27,-0.969,0.37
27,0.773,0.53
27,0.0,1.0
28,0.0,1.0
28,-0.067,0.67
28,0.0,0.0
28,-0.869,0.11
29,0.0,0.0
29,-0.06,0.04
29,0.42,0.62
29,0.0,1.0
30,0.0,1.0
30,0.473,0.01
30,0.0,0.0
30,-0.249,0.54
31,0.0,0.0
31,-0.94,0.33
31,-0.922,0.88
31,0.0,1.0
32,0.0,0.0
32,0.89,0.87
32,0.453,0.95
32,0.0,1.0
33,0.0,1.0
33,0.655,0.37
33,0.0,0.0
33,-0.534,0.29
34,0.0,0.0
34,-0.918,0.27
34,-0.286,0.77
34,0.0,1.0
35,-0.505,0.46
35,0.0,1.0
35,-0.437,0.09
35,0.0,0.0
36,0.0,0.0
36,0.074,0.28
36,-0.224,0.91
36,0.0,1.0
37,0.0,0.0
37,-0.194,0.11
37,-0.415,0.82
37,0.0,1.0
38,0.0,1.0
38,0.0,0.0
38,0.754,0.3
38,0.163,0.52
39,0.943,0.43
39,-0.413,0.63
39,0.0,0.0
39,0.0,1.0
40,0.0,1.0
40,0.659,0.49
40,0.0,0.0
40,-0.582,0.08
41,0.0,0.0
41,0.943,0.41
41,0.723,0.6
41,0.0,1.0
42,0.0,0.0
42,-0.61,0.55
42,0.553,0.93
42,0.0,1.0
43,0.0,1.0
43,-0.876,0.82
43,0.0,0.0
43,-0.729,0.26
44,0.0,0.0
44,-0.04,0.09
44,-0.346,0.33
44,0.0,1.0
45,0.0,1.0
45,0.162,0.85
45,-0.836,0.44
45,0.0,0.0
46,0.0,0.0
46,-0.568,0.07
46,0.833,0.24
46,0.0,1.0
47,-0.317,0.37
47,0.0,1.0
47,0.0,0.0
47,0.808,0.06
48,0.0,0.0
48,0.599,0.36
48,-0.71,0.42
48,0.0,1.0
49,0.0,0.0
49,0.928,0.08
49,-0.015,0.21
49,0.0,1.0
50,0.0,1.0
50,0.885,0.87
50,0.0,0.0
50,0.718,0.23
51,0.0,0.0
51,0.324,0.18
51,0.537,0.24
51,0.0,1.0
52,0.0,0.0
52,-0.414,0.07
52,0.736,0.47
52,0.0,1.0
53,0.0,0.0
53,-0.726,0.26
53,-0.329,0.33
53,0.0,1.0
54,-0.142,0.1
54,0.0,1.0
54,0.0,0.0
54,-0.326,0.08
55,0.0,0.0
55,0.321,0.48
55,-0.335,0.72
55,0.0,1.0
56,0.96,0.78
56,0.0,1.0
56,0.0,0.0
56,0.258,0.34
57,0.0,0.0
57,0.716,0.43
57,0.952,0.58
57,0.0,1.0
